date,Total Passengers
1/1/2015,660421
1/2/2015,575299
1/3/2015,694001
1/4/2015,531441
1/5/2015,564583
1/6/2015,603433
1/7/2015,678840
1/8/2015,713531
1/9/2015,715002
1/10/2015,866240
1/11/2015,684327
1/12/2015,614222
1/13/2015,700922
1/14/2015,689103
1/15/2015,702490
1/16/2015,756684
1/17/2015,804694
1/18/2015,716548
1/19/2015,538843
1/20/2015,627693
1/21/2015,672160
1/22/2015,703255
1/23/2015,748038
1/24/2015,777532
1/25/2015,661717
1/26/2015,358308
1/27/2015,228902
1/28/2015,592348
1/29/2015,672190
1/30/2015,767828
1/31/2015,874472
2/1/2015,698580
2/2/2015,531646
2/3/2015,652685
2/4/2015,643886
2/5/2015,715623
2/6/2015,753411
2/7/2015,815116
2/8/2015,670649
2/9/2015,591269
2/10/2015,656961
2/11/2015,693815
2/12/2015,720895
2/13/2015,763820
2/14/2015,845248
2/15/2015,769703
2/16/2015,656985
2/17/2015,622180
2/18/2015,684336
2/19/2015,749271
2/20/2015,791403
2/21/2015,764678
2/22/2015,645836
2/23/2015,671045
2/24/2015,697800
2/25/2015,691608
2/26/2015,730598
2/27/2015,770801
2/28/2015,837034
3/1/2015,629670
3/2/2015,589368
3/3/2015,613936
3/4/2015,675726
3/5/2015,584685
3/6/2015,701690
3/7/2015,843475
3/8/2015,669879
3/9/2015,604255
3/10/2015,641004
3/11/2015,662831
3/12/2015,715719
3/13/2015,754048
3/14/2015,831191
3/15/2015,683126
3/16/2015,572947
3/17/2015,650512
3/18/2015,705789
3/19/2015,699115
3/20/2015,726314
3/21/2015,777478
3/22/2015,694015
3/23/2015,599238
3/24/2015,637352
3/25/2015,661512
3/26/2015,662559
3/27/2015,730618
3/28/2015,853971
3/29/2015,690438
3/30/2015,603132
3/31/2015,671763
4/1/2015,690066
4/2/2015,696448
4/3/2015,720525
4/4/2015,752017
4/5/2015,624805
4/6/2015,582520
4/7/2015,670298
4/8/2015,699198
4/9/2015,726370
4/10/2015,747331
4/11/2015,799212
4/12/2015,663345
4/13/2015,578086
4/14/2015,636709
4/15/2015,660290
4/16/2015,697705
4/17/2015,739053
4/18/2015,838086
4/19/2015,722650
4/20/2015,617431
4/21/2015,659568
4/22/2015,669136
4/23/2015,721602
4/24/2015,747079
4/25/2015,816070
4/26/2015,681042
4/27/2015,602008
4/28/2015,638508
4/29/2015,663858
4/30/2015,687261
5/1/2015,729655
5/2/2015,849241
5/3/2015,701865
5/4/2015,598183
5/5/2015,674671
5/6/2015,692026
5/7/2015,682831
5/8/2015,703734
5/9/2015,781947
5/10/2015,657810
5/11/2015,609670
5/12/2015,656505
5/13/2015,679255
5/14/2015,682766
5/15/2015,718511
5/16/2015,798692
5/17/2015,678451
5/18/2015,622362
5/19/2015,667893
5/20/2015,687060
5/21/2015,698524
5/22/2015,665719
5/23/2015,648430
5/24/2015,569885
5/25/2015,485601
5/26/2015,598320
5/27/2015,649240
5/28/2015,671763
5/29/2015,697490
5/30/2015,756128
5/31/2015,600478
6/1/2015,616002
6/2/2015,649910
6/3/2015,661961
6/4/2015,693139
6/5/2015,714319
6/6/2015,756588
6/7/2015,658654
6/8/2015,606673
6/9/2015,637295
6/10/2015,662238
6/11/2015,688481
6/12/2015,703962
6/13/2015,721194
6/14/2015,626353
6/15/2015,577031
6/16/2015,620204
6/17/2015,663051
6/18/2015,666126
6/19/2015,691552
6/20/2015,693927
6/21/2015,602126
6/22/2015,580381
6/23/2015,635285
6/24/2015,641556
6/25/2015,655694
6/26/2015,675608
6/27/2015,751922
6/28/2015,567925
6/29/2015,561736
6/30/2015,587165
7/1/2015,609842
7/2/2015,576512
7/3/2015,506580
7/4/2015,439270
7/5/2015,451101
7/6/2015,489909
7/7/2015,579431
7/8/2015,622682
7/9/2015,641078
7/10/2015,639848
7/11/2015,692498
7/12/2015,600078
7/13/2015,544688
7/14/2015,609246
7/15/2015,634357
7/16/2015,623922
7/17/2015,571891
7/18/2015,681513
7/19/2015,652820
7/20/2015,590608
7/21/2015,590600
7/22/2015,614792
7/23/2015,634612
7/24/2015,642968
7/25/2015,654842
7/26/2015,574139
7/27/2015,541873
7/28/2015,611347
7/29/2015,641972
7/30/2015,617680
7/31/2015,632951
8/1/2015,656597
8/2/2015,573412
8/3/2015,545803
8/4/2015,594905
8/5/2015,618538
8/6/2015,617894
8/7/2015,617684
8/8/2015,614363
8/9/2015,522792
8/10/2015,501288
8/11/2015,561961
8/12/2015,582428
8/13/2015,597051
8/14/2015,602082
8/15/2015,622493
8/16/2015,550791
8/17/2015,526482
8/18/2015,583732
8/19/2015,598384
8/20/2015,608991
8/21/2015,604368
8/22/2015,603031
8/23/2015,514665
8/24/2015,490422
8/25/2015,545095
8/26/2015,558086
8/27/2015,574142
8/28/2015,582264
8/29/2015,598824
8/30/2015,538731
8/31/2015,497315
9/1/2015,547264
9/2/2015,574087
9/3/2015,587230
9/4/2015,570857
9/5/2015,556532
9/6/2015,504876
9/7/2015,451222
9/8/2015,575695
9/9/2015,614320
9/10/2015,623291
9/11/2015,643496
9/12/2015,724256
9/13/2015,623487
9/14/2015,539191
9/15/2015,589000
9/16/2015,622713
9/17/2015,634165
9/18/2015,671023
9/19/2015,738233
9/20/2015,640946
9/21/2015,548796
9/22/2015,570897
9/23/2015,566640
9/24/2015,493233
9/25/2015,579146
9/26/2015,718986
9/27/2015,609531
9/28/2015,493345
9/29/2015,555378
9/30/2015,589603
10/1/2015,607314
10/2/2015,650021
10/3/2015,689229
10/4/2015,589950
10/5/2015,527556
10/6/2015,577748
10/7/2015,600729
10/8/2015,628071
10/9/2015,626603
10/10/2015,720502
10/11/2015,615295
10/12/2015,506407
10/13/2015,582856
10/14/2015,604714
10/15/2015,625423
10/16/2015,670799
10/17/2015,766042
10/18/2015,642020
10/19/2015,559736
10/20/2015,582869
10/21/2015,601523
10/22/2015,631038
10/23/2015,668913
10/24/2015,728153
10/25/2015,625289
10/26/2015,544799
10/27/2015,589913
10/28/2015,600964
10/29/2015,618390
10/30/2015,672845
10/31/2015,743263
11/1/2015,640255
11/2/2015,526350
11/3/2015,560052
11/4/2015,590285
11/5/2015,617269
11/6/2015,652152
11/7/2015,742118
11/8/2015,630944
11/9/2015,534945
11/10/2015,578955
11/11/2015,568060
11/12/2015,621663
11/13/2015,666311
11/14/2015,744594
11/15/2015,611732
11/16/2015,519805
11/17/2015,584199
11/18/2015,596015
11/19/2015,605940
11/20/2015,652556
11/21/2015,730511
11/22/2015,609433
11/23/2015,568819
11/24/2015,582284
11/25/2015,569611
11/26/2015,404604
11/27/2015,463528
11/28/2015,578438
11/29/2015,532425
11/30/2015,520623
12/1/2015,572691
12/2/2015,578539
12/3/2015,632967
12/4/2015,668803
12/5/2015,752419
12/6/2015,640907
12/7/2015,564669
12/8/2015,585961
12/9/2015,599441
12/10/2015,620959
12/11/2015,668337
12/12/2015,730915
12/13/2015,609597
12/14/2015,567372
12/15/2015,609065
12/16/2015,643677
12/17/2015,646685
12/18/2015,718165
12/19/2015,767051
12/20/2015,636322
12/21/2015,544175
12/22/2015,560599
12/23/2015,537529
12/24/2015,486005
12/25/2015,316424
12/26/2015,403038
12/27/2015,445977
12/28/2015,493810
12/29/2015,508527
12/30/2015,521669
12/31/2015,567176
