date,Trips
2015-01-01 00:00,28312
2015-01-01 01:00,31707
2015-01-01 02:00,28068
2015-01-01 03:00,24288
2015-01-01 04:00,17081
2015-01-01 05:00,9112
2015-01-01 06:00,6637
2015-01-01 07:00,6011
2015-01-01 08:00,5586
2015-01-01 09:00,6977
2015-01-01 10:00,9949
2015-01-01 11:00,13870
2015-01-01 12:00,16582
2015-01-01 13:00,17448
2015-01-01 14:00,17994
2015-01-01 15:00,18279
2015-01-01 16:00,16602
2015-01-01 17:00,17511
2015-01-01 18:00,18082
2015-01-01 19:00,16485
2015-01-01 20:00,15017
2015-01-01 21:00,14801
2015-01-01 22:00,14005
2015-01-01 23:00,11610
2015-01-02 00:00,9388
2015-01-02 01:00,6291
2015-01-02 02:00,4027
2015-01-02 03:00,2905
2015-01-02 04:00,2626
2015-01-02 05:00,2755
2015-01-02 06:00,5811
2015-01-02 07:00,8256
2015-01-02 08:00,10946
2015-01-02 09:00,13373
2015-01-02 10:00,15243
2015-01-02 11:00,16999
2015-01-02 12:00,19252
2015-01-02 13:00,19023
2015-01-02 14:00,20260
2015-01-02 15:00,20429
2015-01-02 16:00,18223
2015-01-02 17:00,20680
2015-01-02 18:00,23008
2015-01-02 19:00,23227
2015-01-02 20:00,20153
2015-01-02 21:00,19611
2015-01-02 22:00,21722
2015-01-02 23:00,21088
2015-01-03 00:00,19467
2015-01-03 01:00,16660
2015-01-03 02:00,13607
2015-01-03 03:00,10620
2015-01-03 04:00,7061
2015-01-03 05:00,3512
2015-01-03 06:00,4120
2015-01-03 07:00,5216
2015-01-03 08:00,7908
2015-01-03 09:00,11869
2015-01-03 10:00,14975
2015-01-03 11:00,17966
2015-01-03 12:00,21644
2015-01-03 13:00,23718
2015-01-03 14:00,24143
2015-01-03 15:00,23494
2015-01-03 16:00,20350
2015-01-03 17:00,22295
2015-01-03 18:00,25305
2015-01-03 19:00,25667
2015-01-03 20:00,20531
2015-01-03 21:00,21399
2015-01-03 22:00,22409
2015-01-03 23:00,22833
2015-01-04 00:00,20632
2015-01-04 01:00,17494
2015-01-04 02:00,13485
2015-01-04 03:00,9842
2015-01-04 04:00,6384
2015-01-04 05:00,3365
2015-01-04 06:00,3625
2015-01-04 07:00,4734
2015-01-04 08:00,7070
2015-01-04 09:00,10153
2015-01-04 10:00,14304
2015-01-04 11:00,16325
2015-01-04 12:00,18101
2015-01-04 13:00,18639
2015-01-04 14:00,18722
2015-01-04 15:00,18234
2015-01-04 16:00,18056
2015-01-04 17:00,18257
2015-01-04 18:00,18498
2015-01-04 19:00,18494
2015-01-04 20:00,17529
2015-01-04 21:00,14063
2015-01-04 22:00,12639
2015-01-04 23:00,10203
2015-01-05 00:00,7653
2015-01-05 01:00,4685
2015-01-05 02:00,3076
2015-01-05 03:00,2071
2015-01-05 04:00,2310
2015-01-05 05:00,4218
2015-01-05 06:00,11095
2015-01-05 07:00,18866
2015-01-05 08:00,22131
2015-01-05 09:00,19602
2015-01-05 10:00,16290
2015-01-05 11:00,16428
2015-01-05 12:00,17022
2015-01-05 13:00,17127
2015-01-05 14:00,18916
2015-01-05 15:00,19897
2015-01-05 16:00,17718
2015-01-05 17:00,21727
2015-01-05 18:00,26144
2015-01-05 19:00,25655
2015-01-05 20:00,22028
2015-01-05 21:00,19814
2015-01-05 22:00,16256
2015-01-05 23:00,12725
2015-01-06 00:00,8457
2015-01-06 01:00,4968
2015-01-06 02:00,3107
2015-01-06 03:00,1976
2015-01-06 04:00,2159
2015-01-06 05:00,4083
2015-01-06 06:00,11366
2015-01-06 07:00,20044
2015-01-06 08:00,24491
2015-01-06 09:00,21343
2015-01-06 10:00,17697
2015-01-06 11:00,17191
2015-01-06 12:00,17987
2015-01-06 13:00,17464
2015-01-06 14:00,19314
2015-01-06 15:00,19604
2015-01-06 16:00,17538
2015-01-06 17:00,21171
2015-01-06 18:00,26845
2015-01-06 19:00,26026
2015-01-06 20:00,24401
2015-01-06 21:00,23308
2015-01-06 22:00,19331
2015-01-06 23:00,14453
2015-01-07 00:00,9190
2015-01-07 01:00,5580
2015-01-07 02:00,3331
2015-01-07 03:00,2282
2015-01-07 04:00,2296
2015-01-07 05:00,3900
2015-01-07 06:00,11458
2015-01-07 07:00,20908
2015-01-07 08:00,25759
2015-01-07 09:00,23237
2015-01-07 10:00,19681
2015-01-07 11:00,19492
2015-01-07 12:00,20325
2015-01-07 13:00,20469
2015-01-07 14:00,21766
2015-01-07 15:00,21441
2015-01-07 16:00,19067
2015-01-07 17:00,23561
2015-01-07 18:00,29597
2015-01-07 19:00,30512
2015-01-07 20:00,27882
2015-01-07 21:00,27163
2015-01-07 22:00,24117
2015-01-07 23:00,16639
2015-01-08 00:00,10430
2015-01-08 01:00,6034
2015-01-08 02:00,3606
2015-01-08 03:00,2444
2015-01-08 04:00,2266
2015-01-08 05:00,4016
2015-01-08 06:00,12079
2015-01-08 07:00,22534
2015-01-08 08:00,27142
2015-01-08 09:00,24633
2015-01-08 10:00,21183
2015-01-08 11:00,20198
2015-01-08 12:00,20955
2015-01-08 13:00,20408
2015-01-08 14:00,22304
2015-01-08 15:00,22869
2015-01-08 16:00,19145
2015-01-08 17:00,23738
2015-01-08 18:00,29732
2015-01-08 19:00,30515
2015-01-08 20:00,28953
2015-01-08 21:00,28159
2015-01-08 22:00,26724
2015-01-08 23:00,20853
2015-01-09 00:00,13948
2015-01-09 01:00,8392
2015-01-09 02:00,5515
2015-01-09 03:00,3713
2015-01-09 04:00,3028
2015-01-09 05:00,4201
2015-01-09 06:00,11302
2015-01-09 07:00,18011
2015-01-09 08:00,18895
2015-01-09 09:00,20194
2015-01-09 10:00,19100
2015-01-09 11:00,18731
2015-01-09 12:00,19817
2015-01-09 13:00,19811
2015-01-09 14:00,21706
2015-01-09 15:00,21485
2015-01-09 16:00,18628
2015-01-09 17:00,24055
2015-01-09 18:00,30655
2015-01-09 19:00,32571
2015-01-09 20:00,29015
2015-01-09 21:00,27733
2015-01-09 22:00,28687
2015-01-09 23:00,28754
2015-01-10 00:00,26586
2015-01-10 01:00,21782
2015-01-10 02:00,17535
2015-01-10 03:00,12487
2015-01-10 04:00,7673
2015-01-10 05:00,3856
2015-01-10 06:00,4797
2015-01-10 07:00,7676
2015-01-10 08:00,11425
2015-01-10 09:00,17546
2015-01-10 10:00,20906
2015-01-10 11:00,24645
2015-01-10 12:00,26936
2015-01-10 13:00,26292
2015-01-10 14:00,25200
2015-01-10 15:00,27145
2015-01-10 16:00,24870
2015-01-10 17:00,26401
2015-01-10 18:00,30966
2015-01-10 19:00,31396
2015-01-10 20:00,29979
2015-01-10 21:00,27413
2015-01-10 22:00,30186
2015-01-10 23:00,31842
2015-01-11 00:00,28873
2015-01-11 01:00,24937
2015-01-11 02:00,20440
2015-01-11 03:00,15274
2015-01-11 04:00,8943
2015-01-11 05:00,4036
2015-01-11 06:00,4174
2015-01-11 07:00,5816
2015-01-11 08:00,9165
2015-01-11 09:00,13808
2015-01-11 10:00,18480
2015-01-11 11:00,22110
2015-01-11 12:00,24286
2015-01-11 13:00,24336
2015-01-11 14:00,22636
2015-01-11 15:00,21937
2015-01-11 16:00,22216
2015-01-11 17:00,23176
2015-01-11 18:00,22971
2015-01-11 19:00,21060
2015-01-11 20:00,17356
2015-01-11 21:00,16315
2015-01-11 22:00,14489
2015-01-11 23:00,12795
2015-01-12 00:00,7691
2015-01-12 01:00,4265
2015-01-12 02:00,3040
2015-01-12 03:00,2295
2015-01-12 04:00,2319
2015-01-12 05:00,4281
2015-01-12 06:00,11556
2015-01-12 07:00,20218
2015-01-12 08:00,24227
2015-01-12 09:00,22719
2015-01-12 10:00,19871
2015-01-12 11:00,19553
2015-01-12 12:00,20790
2015-01-12 13:00,20182
2015-01-12 14:00,21747
2015-01-12 15:00,21430
2015-01-12 16:00,18041
2015-01-12 17:00,21610
2015-01-12 18:00,26327
2015-01-12 19:00,25520
2015-01-12 20:00,23628
2015-01-12 21:00,22215
2015-01-12 22:00,19296
2015-01-12 23:00,13546
2015-01-13 00:00,11061
2015-01-13 01:00,5511
2015-01-13 02:00,3448
2015-01-13 03:00,2160
2015-01-13 04:00,2251
2015-01-13 05:00,4113
2015-01-13 06:00,11627
2015-01-13 07:00,21863
2015-01-13 08:00,26062
2015-01-13 09:00,24479
2015-01-13 10:00,21986
2015-01-13 11:00,22052
2015-01-13 12:00,22747
2015-01-13 13:00,21910
2015-01-13 14:00,24020
2015-01-13 15:00,23270
2015-01-13 16:00,18907
2015-01-13 17:00,22734
2015-01-13 18:00,28884
2015-01-13 19:00,29790
2015-01-13 20:00,29236
2015-01-13 21:00,28619
2015-01-13 22:00,24574
2015-01-13 23:00,17213
2015-01-14 00:00,11076
2015-01-14 01:00,6499
2015-01-14 02:00,4133
2015-01-14 03:00,2973
2015-01-14 04:00,2739
2015-01-14 05:00,4486
2015-01-14 06:00,12082
2015-01-14 07:00,22311
2015-01-14 08:00,26221
2015-01-14 09:00,24625
2015-01-14 10:00,21281
2015-01-14 11:00,21003
2015-01-14 12:00,21599
2015-01-14 13:00,21099
2015-01-14 14:00,22582
2015-01-14 15:00,21614
2015-01-14 16:00,17849
2015-01-14 17:00,22232
2015-01-14 18:00,28517
2015-01-14 19:00,29482
2015-01-14 20:00,27266
2015-01-14 21:00,27429
2015-01-14 22:00,25341
2015-01-14 23:00,18217
2015-01-15 00:00,11389
2015-01-15 01:00,6785
2015-01-15 02:00,4246
2015-01-15 03:00,2901
2015-01-15 04:00,2679
2015-01-15 05:00,4380
2015-01-15 06:00,12016
2015-01-15 07:00,21875
2015-01-15 08:00,26056
2015-01-15 09:00,24517
2015-01-15 10:00,21128
2015-01-15 11:00,20268
2015-01-15 12:00,21440
2015-01-15 13:00,20628
2015-01-15 14:00,22373
2015-01-15 15:00,21715
2015-01-15 16:00,17706
2015-01-15 17:00,21760
2015-01-15 18:00,28060
2015-01-15 19:00,29867
2015-01-15 20:00,29081
2015-01-15 21:00,29105
2015-01-15 22:00,27978
2015-01-15 23:00,23233
2015-01-16 00:00,15958
2015-01-16 01:00,9830
2015-01-16 02:00,6769
2015-01-16 03:00,4418
2015-01-16 04:00,3851
2015-01-16 05:00,4765
2015-01-16 06:00,11742
2015-01-16 07:00,21074
2015-01-16 08:00,24998
2015-01-16 09:00,23605
2015-01-16 10:00,20583
2015-01-16 11:00,20199
2015-01-16 12:00,21320
2015-01-16 13:00,20952
2015-01-16 14:00,23369
2015-01-16 15:00,21699
2015-01-16 16:00,18571
2015-01-16 17:00,23426
2015-01-16 18:00,29819
2015-01-16 19:00,32378
2015-01-16 20:00,30337
2015-01-16 21:00,29246
2015-01-16 22:00,29898
2015-01-16 23:00,29317
2015-01-17 00:00,26846
2015-01-17 01:00,21792
2015-01-17 02:00,17353
2015-01-17 03:00,12807
2015-01-17 04:00,8221
2015-01-17 05:00,4113
2015-01-17 06:00,4984
2015-01-17 07:00,6922
2015-01-17 08:00,11841
2015-01-17 09:00,16425
2015-01-17 10:00,19177
2015-01-17 11:00,21593
2015-01-17 12:00,23480
2015-01-17 13:00,23780
2015-01-17 14:00,22696
2015-01-17 15:00,24031
2015-01-17 16:00,22596
2015-01-17 17:00,24966
2015-01-17 18:00,28426
2015-01-17 19:00,29724
2015-01-17 20:00,24934
2015-01-17 21:00,24786
2015-01-17 22:00,27271
2015-01-17 23:00,28063
2015-01-18 00:00,27343
2015-01-18 01:00,23852
2015-01-18 02:00,20765
2015-01-18 03:00,15849
2015-01-18 04:00,9510
2015-01-18 05:00,4254
2015-01-18 06:00,3930
2015-01-18 07:00,5291
2015-01-18 08:00,9027
2015-01-18 09:00,13916
2015-01-18 10:00,19858
2015-01-18 11:00,24424
2015-01-18 12:00,25810
2015-01-18 13:00,25864
2015-01-18 14:00,26234
2015-01-18 15:00,24110
2015-01-18 16:00,21062
2015-01-18 17:00,21010
2015-01-18 18:00,22489
2015-01-18 19:00,17979
2015-01-18 20:00,16615
2015-01-18 21:00,16345
2015-01-18 22:00,17246
2015-01-18 23:00,14259
2015-01-19 00:00,11666
2015-01-19 01:00,8059
2015-01-19 02:00,5727
2015-01-19 03:00,4213
2015-01-19 04:00,3441
2015-01-19 05:00,3244
2015-01-19 06:00,5791
2015-01-19 07:00,8057
2015-01-19 08:00,12431
2015-01-19 09:00,15188
2015-01-19 10:00,16571
2015-01-19 11:00,17906
2015-01-19 12:00,20083
2015-01-19 13:00,20754
2015-01-19 14:00,20986
2015-01-19 15:00,21220
2015-01-19 16:00,20083
2015-01-19 17:00,21172
2015-01-19 18:00,22960
2015-01-19 19:00,21171
2015-01-19 20:00,18406
2015-01-19 21:00,16928
2015-01-19 22:00,15598
2015-01-19 23:00,11140
2015-01-20 00:00,7244
2015-01-20 01:00,4297
2015-01-20 02:00,2853
2015-01-20 03:00,1866
2015-01-20 04:00,2101
2015-01-20 05:00,4390
2015-01-20 06:00,11891
2015-01-20 07:00,21001
2015-01-20 08:00,24793
2015-01-20 09:00,23165
2015-01-20 10:00,19726
2015-01-20 11:00,19049
2015-01-20 12:00,19410
2015-01-20 13:00,19185
2015-01-20 14:00,20743
2015-01-20 15:00,20649
2015-01-20 16:00,18008
2015-01-20 17:00,21937
2015-01-20 18:00,27844
2015-01-20 19:00,26837
2015-01-20 20:00,25740
2015-01-20 21:00,25535
2015-01-20 22:00,22121
2015-01-20 23:00,15196
2015-01-21 00:00,9391
2015-01-21 01:00,5787
2015-01-21 02:00,3709
2015-01-21 03:00,2455
2015-01-21 04:00,2449
2015-01-21 05:00,4169
2015-01-21 06:00,11648
2015-01-21 07:00,21689
2015-01-21 08:00,25826
2015-01-21 09:00,23812
2015-01-21 10:00,21294
2015-01-21 11:00,19990
2015-01-21 12:00,20746
2015-01-21 13:00,20266
2015-01-21 14:00,21839
2015-01-21 15:00,21244
2015-01-21 16:00,18323
2015-01-21 17:00,23083
2015-01-21 18:00,28955
2015-01-21 19:00,28853
2015-01-21 20:00,27153
2015-01-21 21:00,26976
2015-01-21 22:00,24628
2015-01-21 23:00,17201
2015-01-22 00:00,10893
2015-01-22 01:00,6695
2015-01-22 02:00,3928
2015-01-22 03:00,2833
2015-01-22 04:00,2619
2015-01-22 05:00,4200
2015-01-22 06:00,11772
2015-01-22 07:00,21815
2015-01-22 08:00,25822
2015-01-22 09:00,23540
2015-01-22 10:00,20477
2015-01-22 11:00,19934
2015-01-22 12:00,21144
2015-01-22 13:00,20134
2015-01-22 14:00,22035
2015-01-22 15:00,21806
2015-01-22 16:00,18509
2015-01-22 17:00,23047
2015-01-22 18:00,29374
2015-01-22 19:00,31034
2015-01-22 20:00,29083
2015-01-22 21:00,29764
2015-01-22 22:00,28102
2015-01-22 23:00,23548
2015-01-23 00:00,15769
2015-01-23 01:00,9955
2015-01-23 02:00,6751
2015-01-23 03:00,4552
2015-01-23 04:00,3687
2015-01-23 05:00,4488
2015-01-23 06:00,11580
2015-01-23 07:00,21412
2015-01-23 08:00,25072
2015-01-23 09:00,23542
2015-01-23 10:00,20552
2015-01-23 11:00,20511
2015-01-23 12:00,21470
2015-01-23 13:00,21258
2015-01-23 14:00,23087
2015-01-23 15:00,21905
2015-01-23 16:00,18369
2015-01-23 17:00,23276
2015-01-23 18:00,29362
2015-01-23 19:00,31422
2015-01-23 20:00,28929
2015-01-23 21:00,27820
2015-01-23 22:00,29128
2015-01-23 23:00,28543
2015-01-24 00:00,26312
2015-01-24 01:00,22178
2015-01-24 02:00,15023
2015-01-24 03:00,11081
2015-01-24 04:00,7181
2015-01-24 05:00,3849
2015-01-24 06:00,4788
2015-01-24 07:00,7021
2015-01-24 08:00,10719
2015-01-24 09:00,15620
2015-01-24 10:00,18411
2015-01-24 11:00,21346
2015-01-24 12:00,23235
2015-01-24 13:00,22863
2015-01-24 14:00,21628
2015-01-24 15:00,22226
2015-01-24 16:00,22092
2015-01-24 17:00,24193
2015-01-24 18:00,27403
2015-01-24 19:00,29175
2015-01-24 20:00,23801
2015-01-24 21:00,23691
2015-01-24 22:00,27748
2015-01-24 23:00,28921
2015-01-25 00:00,27548
2015-01-25 01:00,24736
2015-01-25 02:00,20982
2015-01-25 03:00,15941
2015-01-25 04:00,9360
2015-01-25 05:00,4078
2015-01-25 06:00,4205
2015-01-25 07:00,5907
2015-01-25 08:00,8209
2015-01-25 09:00,12961
2015-01-25 10:00,17851
2015-01-25 11:00,20868
2015-01-25 12:00,22991
2015-01-25 13:00,23335
2015-01-25 14:00,22813
2015-01-25 15:00,21363
2015-01-25 16:00,20990
2015-01-25 17:00,21770
2015-01-25 18:00,22895
2015-01-25 19:00,20049
2015-01-25 20:00,17603
2015-01-25 21:00,16393
2015-01-25 22:00,13739
2015-01-25 23:00,10992
2015-01-26 00:00,7201
2015-01-26 01:00,4433
2015-01-26 02:00,2858
2015-01-26 03:00,2341
2015-01-26 04:00,2695
2015-01-26 05:00,4794
2015-01-26 06:00,11819
2015-01-26 07:00,20082
2015-01-26 08:00,23177
2015-01-26 09:00,20586
2015-01-26 10:00,17156
2015-01-26 11:00,16859
2015-01-26 12:00,17687
2015-01-26 13:00,17905
2015-01-26 14:00,15296
2015-01-26 15:00,10237
2015-01-26 16:00,6928
2015-01-26 17:00,6292
2015-01-26 18:00,6805
2015-01-26 19:00,5537
2015-01-26 20:00,4314
2015-01-26 21:00,3437
2015-01-26 22:00,1519
2015-01-26 23:00,297
2015-01-27 00:00,115
2015-01-27 01:00,52
2015-01-27 02:00,39
2015-01-27 03:00,14
2015-01-27 04:00,24
2015-01-27 05:00,50
2015-01-27 06:00,145
2015-01-27 07:00,374
2015-01-27 08:00,1003
2015-01-27 09:00,2279
2015-01-27 10:00,3748
2015-01-27 11:00,4857
2015-01-27 12:00,5798
2015-01-27 13:00,6271
2015-01-27 14:00,7119
2015-01-27 15:00,8306
2015-01-27 16:00,9683
2015-01-27 17:00,12193
2015-01-27 18:00,14974
2015-01-27 19:00,13395
2015-01-27 20:00,12064
2015-01-27 21:00,12545
2015-01-27 22:00,11382
2015-01-27 23:00,9070
2015-01-28 00:00,5491
2015-01-28 01:00,3267
2015-01-28 02:00,2178
2015-01-28 03:00,1518
2015-01-28 04:00,1705
2015-01-28 05:00,3676
2015-01-28 06:00,11160
2015-01-28 07:00,19889
2015-01-28 08:00,23070
2015-01-28 09:00,21000
2015-01-28 10:00,17453
2015-01-28 11:00,16929
2015-01-28 12:00,17196
2015-01-28 13:00,16989
2015-01-28 14:00,18450
2015-01-28 15:00,18891
2015-01-28 16:00,16780
2015-01-28 17:00,20853
2015-01-28 18:00,26448
2015-01-28 19:00,27252
2015-01-28 20:00,25293
2015-01-28 21:00,24635
2015-01-28 22:00,23451
2015-01-28 23:00,16618
2015-01-29 00:00,10608
2015-01-29 01:00,5981
2015-01-29 02:00,3920
2015-01-29 03:00,2685
2015-01-29 04:00,2579
2015-01-29 05:00,4283
2015-01-29 06:00,12121
2015-01-29 07:00,21535
2015-01-29 08:00,24504
2015-01-29 09:00,22595
2015-01-29 10:00,19828
2015-01-29 11:00,19009
2015-01-29 12:00,19940
2015-01-29 13:00,19710
2015-01-29 14:00,21245
2015-01-29 15:00,20932
2015-01-29 16:00,17403
2015-01-29 17:00,21413
2015-01-29 18:00,27437
2015-01-29 19:00,28562
2015-01-29 20:00,28124
2015-01-29 21:00,28043
2015-01-29 22:00,26452
2015-01-29 23:00,23076
2015-01-30 00:00,15208
2015-01-30 01:00,9460
2015-01-30 02:00,6222
2015-01-30 03:00,4155
2015-01-30 04:00,3517
2015-01-30 05:00,4541
2015-01-30 06:00,11945
2015-01-30 07:00,22220
2015-01-30 08:00,25798
2015-01-30 09:00,23722
2015-01-30 10:00,20829
2015-01-30 11:00,20868
2015-01-30 12:00,20665
2015-01-30 13:00,21060
2015-01-30 14:00,22605
2015-01-30 15:00,21340
2015-01-30 16:00,18463
2015-01-30 17:00,23457
2015-01-30 18:00,30001
2015-01-30 19:00,33159
2015-01-30 20:00,31946
2015-01-30 21:00,30811
2015-01-30 22:00,31060
2015-01-30 23:00,30328
2015-01-31 00:00,28225
2015-01-31 01:00,23181
2015-01-31 02:00,18392
2015-01-31 03:00,13565
2015-01-31 04:00,8516
2015-01-31 05:00,4229
2015-01-31 06:00,5189
2015-01-31 07:00,7499
2015-01-31 08:00,12428
2015-01-31 09:00,19003
2015-01-31 10:00,22230
2015-01-31 11:00,25331
2015-01-31 12:00,27021
2015-01-31 13:00,26707
2015-01-31 14:00,25059
2015-01-31 15:00,25886
2015-01-31 16:00,23822
2015-01-31 17:00,25794
2015-01-31 18:00,30804
2015-01-31 19:00,32436
2015-01-31 20:00,27555
2015-01-31 21:00,27477
2015-01-31 22:00,29862
2015-01-31 23:00,29856
